id,title_bg,title_original,source_language,provider,resource_type,event_start,event_end,event_timezone,application_open,application_close,registration_open,registration_close,availability_open,availability_close,primary_status_bg,primary_status_code,official_url,verified_on,translation_status_bg,source_collection_url,delivery,topics,next_action_at
ahmedabad-workshop-organizers-listed-by-ebmg-hands-on-workshop-on-bioinformatics,,Hands-on Workshop on Bioinformatics Analysis of Germline Short- and Long-Read Sequencing Datasets,en,Ahmedabad workshop organizers (listed by EBMG),workshop,2026-04-13,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://www.ebmg.eu/669.0.html,2026-08-24,missing,https://www.ebmg.eu/669.0.html,in-person,,
american-society-of-human-genetics-ashg-navigating-data-sharing-in-research,,Navigating Data Sharing in Research,en,American Society of Human Genetics (ASHG),webinar,2026-09-09,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://learning.ashg.org/catalog?page=62&widget_products_id=23109,2026-08-24,missing,https://learning.ashg.org/catalog?page=62&widget_products_id=23109,online,,2026-09-08T21:00:00.000Z
bbmri-eric-bbmri-eric-webinars-archive,,BBMRI-ERIC webinars archive,en,BBMRI-ERIC,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/webinars-archive/,2026-08-24,missing,https://www.bbmri-eric.eu/webinars-archive/,online,,
bbmri-eric-bbmri-qm-academy-e-learning,,BBMRI.QM Academy e-learning,en,BBMRI-ERIC,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/services/e-learning/,2026-08-24,missing,https://www.bbmri-eric.eu/services/e-learning/,online,,
bbmri-eric-bbmri-qm-newsroom-consultation-hours,,BBMRI.QM Newsroom / Consultation Hours,en,BBMRI-ERIC,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/services/bbmriqm-consultation-hours/,2026-08-24,missing,https://www.bbmri-eric.eu/services/bbmriqm-consultation-hours/,online,,
bbmri-eric-biobanking-in-times-of-covid-19,,Biobanking in Times of COVID-19,en,BBMRI-ERIC,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/services/e-learning/,2026-08-24,missing,https://www.bbmri-eric.eu/services/e-learning/,unknown,,
bbmri-eric-how-to-build-a-biobank-learning-by-doing,,How to Build a Biobank — Learning by Doing,en,BBMRI-ERIC,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/events/how-to-build-a-biobank-learning-by-doing/,2026-08-24,missing,https://www.bbmri-eric.eu/events/how-to-build-a-biobank-learning-by-doing/,in-person,,
bbmri-eric-how-to-operate-a-biobank-advanced,,How to Operate a Biobank — Advanced,en,BBMRI-ERIC,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/events/how-to-operate-a-biobank-advanced/,2026-08-24,missing,https://www.bbmri-eric.eu/events/how-to-operate-a-biobank-advanced/,in-person,,
bbmri-eric-iso-20387-2018-biobanking-standard,,ISO 20387:2018 — Biobanking Standard,en,BBMRI-ERIC,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/services/bbmriqm-iso-20387-2018/,2026-08-24,missing,https://www.bbmri-eric.eu/services/bbmriqm-iso-20387-2018/,online,,
bbmri-eric-iso-ts-23494-1-2023-provenance-information-model-for-biological-mater,,ISO/TS 23494-1:2023 — Provenance Information Model for Biological Material and Data,en,BBMRI-ERIC,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/services/e-learning/,2026-08-24,missing,https://www.bbmri-eric.eu/services/e-learning/,unknown,,
bbmri-eric-molecular-ivd-pre-examination-processes,,Molecular IVD Pre-examination Processes,en,BBMRI-ERIC,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/services/bbmriqm-pre-examination-processes/,2026-08-24,missing,https://www.bbmri-eric.eu/services/bbmriqm-pre-examination-processes/,online,,
bbmri-eric-monitoring-the-preanalytical-phase-in-biobanking-key-variables-and-qc-strategi,,Monitoring the Preanalytical Phase in Biobanking: Key Variables and QC Strategies,en,BBMRI-ERIC,webinar,2026-10-13,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.bbmri-eric.eu/events/monitoring-the-preanalytical-phase-in-biobanking-key-variables-and-qc-strategies/,2026-08-24,missing,https://www.bbmri-eric.eu/events/monitoring-the-preanalytical-phase-in-biobanking-key-variables-and-qc-strategies/,online,,2026-10-12T21:00:00.000Z
bbmri-eric-workshop-series-on-biobanking,,Workshop Series on Biobanking,en,BBMRI-ERIC,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/news-events/call-for-applications-workshop-series-on-biobanking/,2026-08-24,missing,https://www.bbmri-eric.eu/news-events/call-for-applications-workshop-series-on-biobanking/,unknown,,
ceub-eshg-course-programme-9th-eye-genetics-course,,9th Eye Genetics Course,en,CEUB / ESHG course programme,course,2026-10-11,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.ceub.it/events/event/9th-eye-genetics-course/,2026-08-24,missing,https://www.ceub.it/events/event/9th-eye-genetics-course/,in-person,,2026-10-10T21:00:00.000Z
ceub-eshg-course-programme-tools-for-communication-and-competency-skills-in-gene,,Tools for Communication and Competency Skills in Genetic Counselling,en,CEUB / ESHG course programme,course,2026-11-15,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.ceub.it/events/event/tools-for-communication-and-competency-skills-in-genetic-counselling/,2026-08-24,missing,https://www.ceub.it/events/event/tools-for-communication-and-competency-skills-in-genetic-counselling/,in-person,,2026-11-14T22:00:00.000Z
clinical-genome-resource-clingen-clingen-biocurator-educational-materials,,ClinGen Biocurator Educational Materials,en,Clinical Genome Resource (ClinGen),other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.clinicalgenome.org/tools/educational-resources/materials/,2026-08-24,missing,https://www.clinicalgenome.org/tools/educational-resources/materials/,online,,
clinical-genome-resource-clingen-variant-interpretation-discrepancy-resolution-module,,Variant Interpretation Discrepancy Resolution Module,en,Clinical Genome Resource (ClinGen),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.clinicalgenome.org/tools/variant-interpretation-discrepancy-resolution-module/,2026-08-24,missing,https://www.clinicalgenome.org/tools/variant-interpretation-discrepancy-resolution-module/,unknown,,
