id,title,provider,resource_type,primary_status_code,official_url,verified_on
ahmedabad-workshop-organizers-listed-by-ebmg-hands-on-workshop-on-bioinformatics,Hands-on Workshop on Bioinformatics Analysis of Germline Short- and Long-Read Sequencing Datasets,Ahmedabad workshop organizers (listed by EBMG),workshop,past-event,https://www.ebmg.eu/669.0.html,2026-08-24
american-society-of-human-genetics-ashg-navigating-data-sharing-in-research,Navigating Data Sharing in Research,American Society of Human Genetics (ASHG),webinar,upcoming-event,https://learning.ashg.org/catalog?page=62&widget_products_id=23109,2026-08-24
bbmri-eric-bbmri-eric-webinars-archive,BBMRI-ERIC webinars archive,BBMRI-ERIC,webinar,date-status-unknown,https://www.bbmri-eric.eu/webinars-archive/,2026-08-24
bbmri-eric-bbmri-qm-academy-e-learning,BBMRI.QM Academy e-learning,BBMRI-ERIC,other,date-status-unknown,https://www.bbmri-eric.eu/services/e-learning/,2026-08-24
bbmri-eric-bbmri-qm-newsroom-consultation-hours,BBMRI.QM Newsroom / Consultation Hours,BBMRI-ERIC,webinar,date-status-unknown,https://www.bbmri-eric.eu/services/bbmriqm-consultation-hours/,2026-08-24
bbmri-eric-biobanking-in-times-of-covid-19,Biobanking in Times of COVID-19,BBMRI-ERIC,other,date-status-unknown,https://www.bbmri-eric.eu/services/e-learning/,2026-08-24
bbmri-eric-how-to-build-a-biobank-learning-by-doing,How to Build a Biobank — Learning by Doing,BBMRI-ERIC,workshop,date-status-unknown,https://www.bbmri-eric.eu/events/how-to-build-a-biobank-learning-by-doing/,2026-08-24
bbmri-eric-how-to-operate-a-biobank-advanced,How to Operate a Biobank — Advanced,BBMRI-ERIC,workshop,date-status-unknown,https://www.bbmri-eric.eu/events/how-to-operate-a-biobank-advanced/,2026-08-24
bbmri-eric-iso-20387-2018-biobanking-standard,ISO 20387:2018 — Biobanking Standard,BBMRI-ERIC,course,date-status-unknown,https://www.bbmri-eric.eu/services/bbmriqm-iso-20387-2018/,2026-08-24
bbmri-eric-iso-ts-23494-1-2023-provenance-information-model-for-biological-mater,ISO/TS 23494-1:2023 — Provenance Information Model for Biological Material and Data,BBMRI-ERIC,other,date-status-unknown,https://www.bbmri-eric.eu/services/e-learning/,2026-08-24
bbmri-eric-molecular-ivd-pre-examination-processes,Molecular IVD Pre-examination Processes,BBMRI-ERIC,course,date-status-unknown,https://www.bbmri-eric.eu/services/bbmriqm-pre-examination-processes/,2026-08-24
bbmri-eric-monitoring-the-preanalytical-phase-in-biobanking-key-variables-and-qc-strategi,Monitoring the Preanalytical Phase in Biobanking: Key Variables and QC Strategies,BBMRI-ERIC,webinar,upcoming-event,https://www.bbmri-eric.eu/events/monitoring-the-preanalytical-phase-in-biobanking-key-variables-and-qc-strategies/,2026-08-24
bbmri-eric-workshop-series-on-biobanking,Workshop Series on Biobanking,BBMRI-ERIC,workshop,date-status-unknown,https://www.bbmri-eric.eu/news-events/call-for-applications-workshop-series-on-biobanking/,2026-08-24
ceub-eshg-course-programme-9th-eye-genetics-course,9th Eye Genetics Course,CEUB / ESHG course programme,course,upcoming-event,https://www.ceub.it/events/event/9th-eye-genetics-course/,2026-08-24
ceub-eshg-course-programme-tools-for-communication-and-competency-skills-in-gene,Tools for Communication and Competency Skills in Genetic Counselling,CEUB / ESHG course programme,course,upcoming-event,https://www.ceub.it/events/event/tools-for-communication-and-competency-skills-in-genetic-counselling/,2026-08-24
clinical-genome-resource-clingen-clingen-biocurator-educational-materials,ClinGen Biocurator Educational Materials,Clinical Genome Resource (ClinGen),other,date-status-unknown,https://www.clinicalgenome.org/tools/educational-resources/materials/,2026-08-24
clinical-genome-resource-clingen-variant-interpretation-discrepancy-resolution-module,Variant Interpretation Discrepancy Resolution Module,Clinical Genome Resource (ClinGen),course,date-status-unknown,https://www.clinicalgenome.org/tools/variant-interpretation-discrepancy-resolution-module/,2026-08-24
